sample_id,recordeddate,date,start_time,stop_time,participant_id,user,app_category,app_namedetail
5251b263-4afb-4499-b1ff-77f7fd680a5d,2023-06-09T13:29:59-05:00,2023-06-09,13:29:59,13:30:33,110,Child,navigation,F9C9EAB9-DDC5-447B-9A34-5BF93B35CD19
5251b263-4afb-4499-b1ff-77f7fd680a5d,2023-06-09T13:29:59-05:00,2023-06-09,13:30:33,13:30:36,110,Child,navigation,F9C9EAB9-DDC5-447B-9A34-5BF93B35CD19
5251b263-4afb-4499-b1ff-77f7fd680a5d,2023-06-09T13:29:59-05:00,2023-06-09,13:30:36,13:31:00,110,Child,business,9D6B1CC9-B3F9-41B4-9E33-85F1B8D2A377
5251b263-4afb-4499-b1ff-77f7fd680a5d,2023-06-09T13:29:59-05:00,2023-06-09,13:31:00,13:31:32,110,Child,productivity,com.apple.MobileSMS
5251b263-4afb-4499-b1ff-77f7fd680a5d,2023-06-09T13:29:59-05:00,2023-06-09,13:31:32,13:31:34,110,Child,productivity,com.apple.MobileSMS
5251b263-4afb-4499-b1ff-77f7fd680a5d,2023-06-09T13:29:59-05:00,2023-06-09,13:31:34,13:33:08,110,Child,photoAndVideo,com.apple.mobileslideshow
5251b263-4afb-4499-b1ff-77f7fd680a5d,2023-06-09T13:29:59-05:00,2023-06-09,13:33:08,13:34:00,110,Child,photoAndVideo,com.apple.mobileslideshow
5251b263-4afb-4499-b1ff-77f7fd680a5d,2023-06-09T13:29:59-05:00,2023-06-09,13:34:00,13:34:24,110,Child,photoAndVideo,com.apple.mobileslideshow
4be1b30f-ae3c-474c-9dec-ce14311ef837,2023-06-09T13:44:59-05:00,2023-06-09,13:46:19,13:46:45,110,Child,business,51DC1D32-97EB-45F4-89DD-66FF5B005BC9
4be1b30f-ae3c-474c-9dec-ce14311ef837,2023-06-09T13:44:59-05:00,2023-06-09,13:45:46,13:46:19,110,Child,business,51DC1D32-97EB-45F4-89DD-66FF5B005BC9
4be1b30f-ae3c-474c-9dec-ce14311ef837,2023-06-09T13:44:59-05:00,2023-06-09,13:45:46,13:45:46,110,Child,business,8A00163C-9AF5-46BA-89CC-CEBC7C72A933
4be1b30f-ae3c-474c-9dec-ce14311ef837,2023-06-09T13:44:59-05:00,2023-06-09,13:45:06,13:45:08,110,Child,productivity,com.apple.MobileSMS
4be1b30f-ae3c-474c-9dec-ce14311ef837,2023-06-09T13:44:59-05:00,2023-06-09,13:44:59,13:45:06,110,Child,productivity,com.apple.MobileSMS
4be1b30f-ae3c-474c-9dec-ce14311ef837,2023-06-09T13:44:59-05:00,2023-06-09,13:45:08,13:45:46,110,Child,productivity,7A09F73E-4E72-4F60-A6ED-17AE2AD77E67
e0c94020-964e-4c09-8a7a-adc03944d8a9,2023-06-09T13:59:59-05:00,2023-06-09,14:01:38,14:01:38,110,Child,business,201048C1-5052-4568-8540-737040F8AED3
e0c94020-964e-4c09-8a7a-adc03944d8a9,2023-06-09T13:59:59-05:00,2023-06-09,14:01:51,14:01:55,110,Child,business,201048C1-5052-4568-8540-737040F8AED3
e0c94020-964e-4c09-8a7a-adc03944d8a9,2023-06-09T13:59:59-05:00,2023-06-09,14:01:46,14:01:51,110,Child,business,BF99F0E2-5F3B-45DE-B413-C139E1FEBEFD
e0c94020-964e-4c09-8a7a-adc03944d8a9,2023-06-09T13:59:59-05:00,2023-06-09,14:01:38,14:01:46,110,Child,business,BF99F0E2-5F3B-45DE-B413-C139E1FEBEFD
e0c94020-964e-4c09-8a7a-adc03944d8a9,2023-06-09T13:59:59-05:00,2023-06-09,14:01:00,14:01:38,110,Child,business,201048C1-5052-4568-8540-737040F8AED3
e0c94020-964e-4c09-8a7a-adc03944d8a9,2023-06-09T13:59:59-05:00,2023-06-09,13:59:59,14:00:12,110,Child,productivity,com.apple.MobileSMS
e0c94020-964e-4c09-8a7a-adc03944d8a9,2023-06-09T13:59:59-05:00,2023-06-09,14:00:34,14:00:38,110,Child,productivity,com.apple.mobilemail
e0c94020-964e-4c09-8a7a-adc03944d8a9,2023-06-09T13:59:59-05:00,2023-06-09,14:00:28,14:00:34,110,Child,productivity,com.apple.mobilemail
e0c94020-964e-4c09-8a7a-adc03944d8a9,2023-06-09T13:59:59-05:00,2023-06-09,14:00:12,14:00:28,110,Child,productivity,92883AAF-0878-4F9E-AAC9-DE66AA2D4CEE
e0c94020-964e-4c09-8a7a-adc03944d8a9,2023-06-09T13:59:59-05:00,2023-06-09,14:00:38,14:01:00,110,Child,business,201048C1-5052-4568-8540-737040F8AED3
6d7107b5-23ea-4843-9343-6d74337225ec,2023-06-09T14:14:59-05:00,2023-06-09,14:16:26,14:16:43,110,Child,business,46BB0B1E-E3D0-4E96-9845-9202A7446622
6d7107b5-23ea-4843-9343-6d74337225ec,2023-06-09T14:14:59-05:00,2023-06-09,14:16:48,14:16:50,110,Child,business,CEE733E0-AACE-4D48-ADC8-C45F315D9A34
6d7107b5-23ea-4843-9343-6d74337225ec,2023-06-09T14:14:59-05:00,2023-06-09,14:16:45,14:16:48,110,Child,business,CEE733E0-AACE-4D48-ADC8-C45F315D9A34
6d7107b5-23ea-4843-9343-6d74337225ec,2023-06-09T14:14:59-05:00,2023-06-09,14:16:43,14:16:45,110,Child,business,46BB0B1E-E3D0-4E96-9845-9202A7446622
6d7107b5-23ea-4843-9343-6d74337225ec,2023-06-09T14:14:59-05:00,2023-06-09,14:16:09,14:16:18,110,Child,productivity,com.apple.mobilemail
6d7107b5-23ea-4843-9343-6d74337225ec,2023-06-09T14:14:59-05:00,2023-06-09,14:16:18,14:16:26,110,Child,productivity,com.apple.mobilemail
6d7107b5-23ea-4843-9343-6d74337225ec,2023-06-09T14:14:59-05:00,2023-06-09,14:15:37,14:16:07,110,Child,productivity,com.apple.mobilesafari
6d7107b5-23ea-4843-9343-6d74337225ec,2023-06-09T14:14:59-05:00,2023-06-09,14:15:37,14:15:37,110,Child,productivity,com.apple.mobilemail
6d7107b5-23ea-4843-9343-6d74337225ec,2023-06-09T14:14:59-05:00,2023-06-09,14:15:32,14:15:37,110,Child,productivity,com.apple.mobilemail
6d7107b5-23ea-4843-9343-6d74337225ec,2023-06-09T14:14:59-05:00,2023-06-09,14:14:59,14:15:32,110,Child,productivity,com.apple.mobilemail
6d7107b5-23ea-4843-9343-6d74337225ec,2023-06-09T14:14:59-05:00,2023-06-09,14:16:07,14:16:09,110,Child,productivity,com.apple.mobilesafari
3328d7e9-2e6e-423e-b6fa-6e140a13178a,2023-06-09T14:29:59-05:00,2023-06-09,14:30:48,14:31:24,110,Child,business,F702DB66-532A-42C0-A7CA-88D26CA5BB7D
3328d7e9-2e6e-423e-b6fa-6e140a13178a,2023-06-09T14:29:59-05:00,2023-06-09,14:29:59,14:30:01,110,Child,productivity,com.apple.mobilemail
3328d7e9-2e6e-423e-b6fa-6e140a13178a,2023-06-09T14:29:59-05:00,2023-06-09,14:30:01,14:30:17,110,Child,productivity,D16EA8A2-EB46-4BF7-8154-3D3AFC8A3239
3328d7e9-2e6e-423e-b6fa-6e140a13178a,2023-06-09T14:29:59-05:00,2023-06-09,14:30:17,14:30:48,110,Child,productivity,com.apple.mobilemail
3328d7e9-2e6e-423e-b6fa-6e140a13178a,2023-06-09T14:29:59-05:00,2023-06-09,14:31:24,14:31:24,110,Child,business,F702DB66-532A-42C0-A7CA-88D26CA5BB7D
273c24e9-6f62-4e19-8d15-ec4d39987489,2023-06-09T14:44:59-05:00,2023-06-09,14:44:59,14:45:01,110,Child,productivity,com.apple.mobilemail
273c24e9-6f62-4e19-8d15-ec4d39987489,2023-06-09T14:44:59-05:00,2023-06-09,14:45:01,14:45:07,110,Child,productivity,com.apple.mobilemail
273c24e9-6f62-4e19-8d15-ec4d39987489,2023-06-09T14:44:59-05:00,2023-06-09,14:45:07,14:45:15,110,Child,business,8F9F6B9D-9747-40CF-ADB7-7FF2DC7C4E3F
273c24e9-6f62-4e19-8d15-ec4d39987489,2023-06-09T14:44:59-05:00,2023-06-09,14:45:15,14:45:26,110,Child,foodAndDrink,EAD81EE8-EC82-45A1-B6EA-6BF02A58BBC9
3ca4add7-a332-468f-81c4-9064e8817184,2023-06-09T15:14:59-05:00,2023-06-09,15:15:30,15:16:47,110,Child,socialNetworking,4672B5BA-6563-4646-BB9C-40E1F8568AEB
3ca4add7-a332-468f-81c4-9064e8817184,2023-06-09T15:14:59-05:00,2023-06-09,15:17:26,15:17:27,110,Child,business,1F00FAD5-8A63-416F-80AF-D19069BD5FF7
3ca4add7-a332-468f-81c4-9064e8817184,2023-06-09T15:14:59-05:00,2023-06-09,15:17:16,15:17:26,110,Child,productivity,com.apple.mobilenotes
3ca4add7-a332-468f-81c4-9064e8817184,2023-06-09T15:14:59-05:00,2023-06-09,15:14:59,15:15:30,110,Child,socialNetworking,4672B5BA-6563-4646-BB9C-40E1F8568AEB
3ca4add7-a332-468f-81c4-9064e8817184,2023-06-09T15:14:59-05:00,2023-06-09,15:16:47,15:17:16,110,Child,socialNetworking,4672B5BA-6563-4646-BB9C-40E1F8568AEB
0e120673-e8d1-4a14-a295-0f8dee74fe13,2023-06-09T15:59:59-05:00,2023-06-09,16:03:46,16:07:18,110,Child,photoAndVideo,546949E7-230A-4734-BFBE-AC303D4346B9
0e120673-e8d1-4a14-a295-0f8dee74fe13,2023-06-09T15:59:59-05:00,2023-06-09,15:59:59,16:00:25,110,Child,utilities,B7581A37-C601-495A-ACB4-900D4C610B82
0e120673-e8d1-4a14-a295-0f8dee74fe13,2023-06-09T15:59:59-05:00,2023-06-09,16:00:25,16:00:27,110,Child,business,BFB6ACB1-43EF-4418-8F0F-EBB4A152D076
0e120673-e8d1-4a14-a295-0f8dee74fe13,2023-06-09T15:59:59-05:00,2023-06-09,16:00:27,16:00:32,110,Child,business,BFB6ACB1-43EF-4418-8F0F-EBB4A152D076
0e120673-e8d1-4a14-a295-0f8dee74fe13,2023-06-09T15:59:59-05:00,2023-06-09,16:00:32,16:01:41,110,Child,business,BFB6ACB1-43EF-4418-8F0F-EBB4A152D076
0e120673-e8d1-4a14-a295-0f8dee74fe13,2023-06-09T15:59:59-05:00,2023-06-09,16:01:41,16:01:54,110,Child,business,BFB6ACB1-43EF-4418-8F0F-EBB4A152D076
